size,type,algorithm,time_ms,comparisons
1300,reverse,msd_radix_sort,0.83245,3159
1300,reverse,msd_radix_sort_switch,1.22789,7322.8
1300,almost,quick_sort,0.8129,21518
1300,almost,merge_sort,2.26332,15193
1300,almost,string_quicksort,2.06649,13144.6
1300,almost,string_mergesort,1.43665,15193
1300,almost,msd_radix_sort,0.80653,3128
1300,almost,msd_radix_sort_switch,1.24855,7282.4
1300,prefix,quick_sort,3.50565,639696
1300,prefix,merge_sort,4.98486,603138
1300,prefix,string_quicksort,2.36018,76077.7
1300,prefix,string_mergesort,3.69042,603938
1300,prefix,msd_radix_sort,5.36217,67507
1300,prefix,msd_radix_sort_switch,5.71797,69396.8
1400,random,quick_sort,0.87927,21788.3
1400,random,merge_sort,2.56138,17666
1400,random,string_quicksort,2.3516,14067.1
1400,random,string_mergesort,1.62223,17666
1400,random,msd_radix_sort,0.74625,3146
1400,random,msd_radix_sort_switch,1.18456,6214.4
1400,reverse,quick_sort,0.88631,23211.5
1400,reverse,merge_sort,2.40404,11185
1400,reverse,string_quicksort,2.0854,13713.2
1400,reverse,string_mergesort,1.55481,11185
1400,reverse,msd_radix_sort,0.90866,3419
1400,reverse,msd_radix_sort_switch,1.37706,7905.2
1400,almost,quick_sort,0.8875,23700.5
1400,almost,merge_sort,2.46467,16367
1400,almost,string_quicksort,2.12328,14015.8
1400,almost,string_mergesort,1.57361,16367
1400,almost,msd_radix_sort,0.88263,3400
1400,almost,msd_radix_sort_switch,1.34202,7898.1
1400,prefix,quick_sort,3.74124,677862
1400,prefix,merge_sort,5.45446,656237
1400,prefix,string_quicksort,2.53719,81462.4
1400,prefix,string_mergesort,4.05022,657887
1400,prefix,msd_radix_sort,5.85782,72671
1400,prefix,msd_radix_sort_switch,6.12254,74745.4
1500,random,quick_sort,0.93983,23246
1500,random,merge_sort,2.73972,19144
1500,random,string_quicksort,2.57107,15698.4
1500,random,string_mergesort,1.75626,19144
1500,random,msd_radix_sort,0.76528,3345
1500,random,msd_radix_sort_switch,1.22057,6854.8
1500,reverse,quick_sort,0.90569,25022.8
1500,reverse,merge_sort,2.61811,12291
1500,reverse,string_quicksort,2.43907,15330.9
1500,reverse,string_mergesort,1.53636,12291
1500,reverse,msd_radix_sort,0.98632,3653
1500,reverse,msd_radix_sort_switch,1.5066,8525
1500,almost,quick_sort,0.9193,24959.1
1500,almost,merge_sort,2.65644,17403
1500,almost,string_quicksort,2.38541,15741
1500,almost,string_mergesort,1.72863,17403
1500,almost,msd_radix_sort,0.89868,3605
1500,almost,msd_radix_sort_switch,1.44414,8296
1500,prefix,quick_sort,4.25819,760080
1500,prefix,merge_sort,6.20022,712179
1500,prefix,string_quicksort,3.14094,88411.6
1500,prefix,string_mergesort,4.38625,713979
1500,prefix,msd_radix_sort,6.46828,77934
1500,prefix,msd_radix_sort_switch,6.72742,80418.3
1600,random,quick_sort,1.05089,26114.1
1600,random,merge_sort,3.08653,20725
1600,random,string_quicksort,2.70132,16689.1
1600,random,string_mergesort,1.9385,20725
1600,random,msd_radix_sort,0.91113,3586
1600,random,msd_radix_sort_switch,1.33454,7469
1600,reverse,quick_sort,0.99844,27478
1600,reverse,merge_sort,2.80148,12996
1600,reverse,string_quicksort,2.55409,16460.6
1600,reverse,string_mergesort,1.70832,12996
1600,reverse,msd_radix_sort,1.05608,3886
1600,reverse,msd_radix_sort_switch,1.59109,9039.6
1600,almost,quick_sort,1.01718,26823.1
1600,almost,merge_sort,2.85363,18989
1600,almost,string_quicksort,2.543,16834.7
1600,almost,string_mergesort,1.82587,18989
1600,almost,msd_radix_sort,1.0111,3840
1600,almost,msd_radix_sort_switch,1.54078,8907.5
1600,prefix,quick_sort,4.45393,804075
1600,prefix,merge_sort,6.38268,767122
1600,prefix,string_quicksort,3.44835,93919.5
1600,prefix,string_mergesort,4.71749,769372
1600,prefix,msd_radix_sort,6.63357,83130
1600,prefix,msd_radix_sort_switch,7.19677,85704.5
1700,random,quick_sort,1.10131,27562.7
1700,random,merge_sort,3.24419,22280
1700,random,string_quicksort,2.95272,17880.2
1700,random,string_mergesort,2.15092,22280
1700,random,msd_radix_sort,0.97001,3860
1700,random,msd_radix_sort_switch,1.41746,8068.5
1700,reverse,quick_sort,1.06667,28898
1700,reverse,merge_sort,3.06416,13954
1700,reverse,string_quicksort,2.66983,17813.7
1700,reverse,string_mergesort,1.7988,13954
1700,reverse,msd_radix_sort,1.07076,4093
1700,reverse,msd_radix_sort_switch,1.6265,9679.6
1700,almost,quick_sort,1.0434,28457.1
1700,almost,merge_sort,3.03874,20323
1700,almost,string_quicksort,2.71644,17647.9
1700,almost,string_mergesort,2.00033,20323
1700,almost,msd_radix_sort,1.03678,4062
1700,almost,msd_radix_sort_switch,1.79482,9535.4
1700,prefix,quick_sort,4.8387,866884
1700,prefix,merge_sort,6.75607,822554
1700,prefix,string_quicksort,3.05854,99866
